Въпрос,Опция A,Опция B,Опция C,Опция D,Индекс на верния отговор (0-3),Ниво на трудност (1-15)
Коя е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е авторът на романа „Под игото“?,Иван Вазов,Елин Пелин,Христо Ботев,Петко Р. Славейков,0,3
Кой е най-големият океан в света?,Атлантически,Индийски,Тихи,Северен ледовит,2,2
"Какъв химичен елемент има символа ""O""?",Злато,Кислород,Сребро,Водород,1,1
"Коя планета е известна като ""Червената планета""?",Венера,Марс,Юпитер,Сатурн,1,1
Кой учен е известен с теорията на относителността?,Исак Нютон,Алберт Айнщайн,Никола Тесла,Стивън Хокинг,1,3
Коя е най-дългата река в света?,Нил,Амазонка,Мисисипи,Янцзи,0,4
Коя държава е известна с пирамидите си?,Гърция,Египет,Италия,Китай,1,1
Коя е най-голямата планета в Слънчевата система?,Земя,Марс,Юпитер,Сатурн,2,2
"Как се нарича процесът, при който растенията преобразуват светлината в енергия?",Фотосинтеза,Дишане,Хидратация,Ферментация,0,2
"Кой художник е нарисувал ""Мона Лиза""?",Винсент ван Гог,Пабло Пикасо,Леонардо да Винчи,Микеланджело,2,3
Коя е най-високата планина в света?,К2,Еверест,Макалу,Лхоцзе,1,2
В коя година започна Втората световна война?,1935,1939,1941,1945,1,4
Кой е основателят на Facebook?,Бил Гейтс,Марк Зукърбърг,Стив Джобс,Лари Пейдж,1,3
Какво е основното гориво за човешкото тяло?,Белтъчини,Въглехидрати,Мазнини,Витамини,1,2
Коя е най-малката страна по население в света?,Ватикана,Монако,Науру,Сан Марино,0,5
"Кой е авторът на романа ""Братя Карамазови""?",Лев Толстой,Фьодор Достоевски,Антон Чехов,Владимир Набоков,1,4
Коя е най-известната картина на Едвард Мунк?,Мона Лиза,Крикът,Звездна нощ,Нощно кафе,1,3
Кой е изобретил електрическата крушка?,Томас Едисон,Никола Тесла,Александър Греъм Бел,Алберт Айнщайн,0,4
Коя е основната съставка на традиционното българско кисело мляко?,Краве мляко,Козе мляко,Овче мляко,Соево мляко,0,2
Кой е шампион по културизъм на България за юноши през 20070ма ,Петров,Иванов,Симеонов,Гълъбов,3,1
