question,answer1,answer2,answer3,answer4,correct,level
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,1
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,2
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,3
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,3
Кой е столицата на България?,София,Пловдив,Варна,Бургас,0,3
